customer_id,churn_probability,churn_prediction,actual_churn,customer_value,risk_tier,priority_score,revenue_at_risk,recoverable_revenue,net_benefit,wealth_tier,recommended_action,customer_lifetime_value,intervention_cost,expected_recovery,roi,roi_category
133002,1.0,1,1,0.2415,Critical,0.2415,4777.0,1433.0,933.0,Basic,Relationship manager follow-up,0,500,1433.0,1.87,Low ROI (0-10x)
133006,0.9996,1,1,0.3314,Critical,0.3313,7833.0,2350.0,1850.0,Standard,Relationship manager follow-up,0,500,2350.0,3.7,Low ROI (0-10x)
133011,1.0,1,1,0.1619,Critical,0.1619,2665.0,800.0,300.0,Basic,Relationship manager follow-up,0,500,800.0,0.6,Low ROI (0-10x)
133012,1.0,1,1,0.1391,Critical,0.1391,3184.0,955.0,455.0,Basic,Relationship manager follow-up,0,500,955.0,0.91,Low ROI (0-10x)
133029,1.0,1,1,0.1048,Critical,0.1048,2405.0,722.0,222.0,Basic,Relationship manager follow-up,0,500,722.0,0.44,Low ROI (0-10x)
133037,0.9938,1,1,0.1013,Critical,0.1007,2339.0,702.0,202.0,Basic,Relationship manager follow-up,0,500,702.0,0.4,Low ROI (0-10x)
133040,1.0,1,1,0.0863,Critical,0.0863,984.0,295.0,-205.0,Basic,Relationship manager follow-up,0,500,295.0,-0.41,Negative ROI
133044,0.9999,1,1,0.1137,Critical,0.1137,2908.0,872.0,372.0,Basic,Relationship manager follow-up,0,500,872.0,0.74,Low ROI (0-10x)
133063,0.3607,1,0,0.7226,Medium,0.2606,12308.0,3692.0,3192.0,Premium,Relationship manager follow-up,0,500,3692.0,6.38,Low ROI (0-10x)
133067,0.1864,1,0,0.3259,Low,0.0607,1774.0,532.0,32.0,Standard,Relationship manager follow-up,0,500,532.0,0.06,Low ROI (0-10x)
133071,1.0,1,1,0.4479,Critical,0.4479,12438.0,3731.0,3231.0,Standard,Relationship manager follow-up,0,500,3731.0,6.46,Low ROI (0-10x)
133078,0.9999,1,1,0.2408,Critical,0.2408,7969.0,2391.0,1891.0,Basic,Relationship manager follow-up,0,500,2391.0,3.78,Low ROI (0-10x)
133087,0.9996,1,1,0.0897,Critical,0.0897,3083.0,925.0,425.0,Basic,Relationship manager follow-up,0,500,925.0,0.85,Low ROI (0-10x)
133092,0.9989,1,1,0.2313,Critical,0.231,7741.0,2322.0,1822.0,Basic,Relationship manager follow-up,0,500,2322.0,3.64,Low ROI (0-10x)
133103,1.0,1,1,0.267,Critical,0.267,8740.0,2622.0,2122.0,Standard,Relationship manager follow-up,0,500,2622.0,4.24,Low ROI (0-10x)
133113,1.0,1,1,0.397,Critical,0.397,9606.0,2882.0,2382.0,Standard,Relationship manager follow-up,0,500,2882.0,4.76,Low ROI (0-10x)
133115,0.9981,1,1,0.1057,Critical,0.1055,2645.0,794.0,294.0,Basic,Relationship manager follow-up,0,500,794.0,0.59,Low ROI (0-10x)
133116,0.9886,1,1,0.1712,Critical,0.1692,3920.0,1176.0,676.0,Basic,Relationship manager follow-up,0,500,1176.0,1.35,Low ROI (0-10x)
133120,0.8777,1,1,0.2342,Critical,0.2056,8236.0,2471.0,1971.0,Basic,Relationship manager follow-up,0,500,2471.0,3.94,Low ROI (0-10x)
133121,0.9579,1,1,0.335,Critical,0.3209,9263.0,2779.0,2279.0,Standard,Relationship manager follow-up,0,500,2779.0,4.56,Low ROI (0-10x)
133127,0.9993,1,1,0.1325,Critical,0.1324,1822.0,547.0,47.0,Basic,Relationship manager follow-up,0,500,547.0,0.09,Low ROI (0-10x)
133134,1.0,1,1,0.1362,Critical,0.1362,5686.0,1706.0,1206.0,Basic,Relationship manager follow-up,0,500,1706.0,2.41,Low ROI (0-10x)
133137,0.996,1,1,0.2414,Critical,0.2404,7514.0,2254.0,1754.0,Basic,Relationship manager follow-up,0,500,2254.0,3.51,Low ROI (0-10x)
133144,1.0,1,1,0.0813,Critical,0.0813,3391.0,1017.0,517.0,Basic,Relationship manager follow-up,0,500,1017.0,1.03,Low ROI (0-10x)
133147,1.0,1,1,0.2747,Critical,0.2747,6293.0,1888.0,1388.0,Standard,Relationship manager follow-up,0,500,1888.0,2.78,Low ROI (0-10x)
133148,0.9976,1,1,0.548,Critical,0.5467,19379.0,5814.0,5314.0,Premium,Relationship manager follow-up,0,500,5814.0,10.63,Medium ROI (10-50x)
133150,1.0,1,1,0.1778,Critical,0.1778,4406.0,1322.0,822.0,Basic,Relationship manager follow-up,0,500,1322.0,1.64,Low ROI (0-10x)
133153,1.0,1,1,0.0972,Critical,0.0972,2633.0,790.0,290.0,Basic,Relationship manager follow-up,0,500,790.0,0.58,Low ROI (0-10x)
133156,1.0,1,1,0.1102,Critical,0.1102,1739.0,522.0,22.0,Basic,Relationship manager follow-up,0,500,522.0,0.04,Low ROI (0-10x)
133157,1.0,1,1,0.1593,Critical,0.1593,3028.0,908.0,408.0,Basic,Relationship manager follow-up,0,500,908.0,0.82,Low ROI (0-10x)
133161,1.0,1,1,0.0682,Critical,0.0682,2712.0,814.0,314.0,Basic,Relationship manager follow-up,0,500,814.0,0.63,Low ROI (0-10x)
133166,0.8812,1,0,0.1689,Critical,0.1488,3315.0,994.0,494.0,Basic,Relationship manager follow-up,0,500,994.0,0.99,Low ROI (0-10x)
133175,0.9998,1,1,0.3182,Critical,0.3181,11537.0,3461.0,2961.0,Standard,Relationship manager follow-up,0,500,3461.0,5.92,Low ROI (0-10x)
133178,0.4778,1,0,0.4658,Medium,0.2226,9781.0,2934.0,2434.0,Standard,Relationship manager follow-up,0,500,2934.0,4.87,Low ROI (0-10x)
133181,0.9822,1,1,0.1381,Critical,0.1356,5454.0,1636.0,1136.0,Basic,Relationship manager follow-up,0,500,1636.0,2.27,Low ROI (0-10x)
133183,1.0,1,1,0.0947,Critical,0.0947,3967.0,1190.0,690.0,Basic,Relationship manager follow-up,0,500,1190.0,1.38,Low ROI (0-10x)
133184,0.7377,1,1,0.4631,High,0.3416,15661.0,4698.0,4198.0,Standard,Relationship manager follow-up,0,500,4698.0,8.4,Low ROI (0-10x)
133192,0.9998,1,1,0.1239,Critical,0.1239,1608.0,482.0,-18.0,Basic,Relationship manager follow-up,0,500,482.0,-0.04,Negative ROI
133203,1.0,1,1,0.3588,Critical,0.3588,11642.0,3493.0,2993.0,Standard,Relationship manager follow-up,0,500,3493.0,5.99,Low ROI (0-10x)
133204,0.9999,1,1,0.2505,Critical,0.2505,12059.0,3618.0,3118.0,Standard,Relationship manager follow-up,0,500,3618.0,6.24,Low ROI (0-10x)
133207,0.9684,1,1,0.2324,Critical,0.2251,3373.0,1012.0,512.0,Basic,Relationship manager follow-up,0,500,1012.0,1.02,Low ROI (0-10x)
133209,0.9874,1,1,0.1182,Critical,0.1167,3001.0,900.0,400.0,Basic,Relationship manager follow-up,0,500,900.0,0.8,Low ROI (0-10x)
133218,0.9997,1,1,0.4257,Critical,0.4256,13019.0,3906.0,3406.0,Standard,Relationship manager follow-up,0,500,3906.0,6.81,Low ROI (0-10x)
133223,0.9919,1,1,0.3072,Critical,0.3047,6541.0,1962.0,1462.0,Standard,Relationship manager follow-up,0,500,1962.0,2.92,Low ROI (0-10x)
133226,0.9986,1,1,0.1475,Critical,0.1473,2158.0,647.0,147.0,Basic,Relationship manager follow-up,0,500,647.0,0.29,Low ROI (0-10x)
133229,0.9997,1,1,0.214,Critical,0.2139,5885.0,1766.0,1266.0,Basic,Relationship manager follow-up,0,500,1766.0,2.53,Low ROI (0-10x)
133239,0.9895,1,1,0.0957,Critical,0.0947,2782.0,835.0,335.0,Basic,Relationship manager follow-up,0,500,835.0,0.67,Low ROI (0-10x)
133242,0.9951,1,1,0.737,Critical,0.7334,36403.0,10921.0,10421.0,Premium,Relationship manager follow-up,0,500,10921.0,20.84,Medium ROI (10-50x)
133247,0.999,1,1,0.2683,Critical,0.268,8016.0,2405.0,1905.0,Standard,Relationship manager follow-up,0,500,2405.0,3.81,Low ROI (0-10x)
133270,0.9992,1,1,0.0499,Critical,0.0499,1990.0,597.0,97.0,Basic,Relationship manager follow-up,0,500,597.0,0.19,Low ROI (0-10x)
133276,1.0,1,1,0.253,Critical,0.253,5158.0,1547.0,1047.0,Standard,Relationship manager follow-up,0,500,1547.0,2.09,Low ROI (0-10x)
133277,0.9997,1,1,0.105,Critical,0.105,2311.0,693.0,193.0,Basic,Relationship manager follow-up,0,500,693.0,0.39,Low ROI (0-10x)
133288,0.9989,1,1,0.3438,Critical,0.3434,6844.0,2053.0,1553.0,Standard,Relationship manager follow-up,0,500,2053.0,3.11,Low ROI (0-10x)
133294,0.9995,1,1,0.0657,Critical,0.0657,2090.0,627.0,127.0,Basic,Relationship manager follow-up,0,500,627.0,0.25,Low ROI (0-10x)
133295,1.0,1,1,0.2258,Critical,0.2258,5039.0,1512.0,1012.0,Basic,Relationship manager follow-up,0,500,1512.0,2.02,Low ROI (0-10x)
133297,0.9999,1,1,0.163,Critical,0.163,2943.0,883.0,383.0,Basic,Relationship manager follow-up,0,500,883.0,0.77,Low ROI (0-10x)
133298,0.965,1,1,0.2359,Critical,0.2276,6689.0,2007.0,1507.0,Basic,Relationship manager follow-up,0,500,2007.0,3.01,Low ROI (0-10x)
133302,0.9886,1,1,0.3588,Critical,0.3547,13701.0,4110.0,3610.0,Standard,Relationship manager follow-up,0,500,4110.0,7.22,Low ROI (0-10x)
133304,0.9893,1,1,0.2005,Critical,0.1984,4398.0,1319.0,819.0,Basic,Relationship manager follow-up,0,500,1319.0,1.64,Low ROI (0-10x)
133309,0.4198,1,0,0.2688,Medium,0.1128,2026.0,608.0,108.0,Standard,Relationship manager follow-up,0,500,608.0,0.22,Low ROI (0-10x)
133316,0.9993,1,1,0.3493,Critical,0.3491,13363.0,4009.0,3509.0,Standard,Relationship manager follow-up,0,500,4009.0,7.02,Low ROI (0-10x)
